d_adv_loss, f_slf_loss, f_cyc_loss, f_adv_loss
0.4822, 1.2539, 4.3773, 3.2883
0.4835, 1.2416, 4.4708, 3.276
0.4822, 1.2273, 4.4472, 3.2779
0.4816, 1.2047, 4.4159, 3.2791
0.513, 1.086, 4.1437, 2.9887
0.5168, 1.106, 4.4273, 2.99
0.5303, 1.1445, 4.7432, 2.9541
0.5308, 1.1876, 4.8675, 3.0013
0.5268, 1.1942, 4.7816, 3.007
0.5058, 1.1499, 4.8271, 3.2173
0.5113, 1.1718, 4.7262, 3.043
0.5254, 1.2661, 5.3853, 3.1559
0.5231, 1.2593, 5.2517, 3.1148
0.5146, 1.282, 5.158, 3.1413
0.5132, 1.2636, 4.7639, 3.2068
0.487, 1.1747, 4.4462, 3.2253
0.4726, 1.1331, 4.3937, 3.3298
0.4753, 1.1275, 4.3473, 3.3135
0.481, 1.1125, 4.3075, 3.3131
0.513, 1.2866, 4.6819, 3.2717
0.535, 1.2019, 4.4044, 3.0433
0.5294, 1.1688, 4.3493, 3.0936
0.518, 1.169, 4.3805, 3.1411
0.5105, 1.1885, 4.4075, 3.0994
0.5304, 1.2279, 4.7769, 2.8624
0.5177, 1.164, 4.5269, 3.1816
0.5247, 1.1558, 4.6306, 3.1378
0.5111, 1.1395, 4.5867, 3.1546
0.5036, 1.1265, 4.5368, 3.2067
0.501, 1.0937, 4.3798, 3.3953
0.5282, 1.1554, 4.5468, 3.2694
0.5442, 1.1741, 4.6217, 3.1125
0.5541, 1.2052, 4.6899, 3.0628
0.5648, 1.2553, 4.8117, 2.9843
0.5122, 1.3103, 5.2523, 3.1004
0.5622, 1.268, 5.352, 3.0372
0.5833, 1.2815, 5.5154, 3.0911
0.5886, 1.2926, 5.5072, 3.0841
0.5976, 1.2893, 5.7889, 3.0108
0.6279, 1.5222, 6.057, 2.8653
0.5871, 1.5415, 5.5992, 2.9961
0.6101, 1.4942, 5.228, 2.8574
0.6174, 1.4227, 4.962, 2.8595
0.5974, 1.3636, 4.7158, 2.8675
0.514, 0.9685, 3.5215, 3.065
0.5101, 0.9496, 3.537, 2.9817
0.5157, 0.9844, 3.6416, 2.9575
0.5164, 0.9635, 3.6073, 2.9571
0.5165, 0.9465, 3.6311, 3.0106
0.4758, 0.8303, 3.4175, 3.3783
0.4683, 0.8199, 3.2665, 3.4383
0.4579, 0.875, 3.3883, 3.4086
0.4576, 0.8817, 3.3797, 3.3907
0.4668, 0.9033, 3.4472, 3.3635
